,city,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
0,atuona,-9.8,-139.03,81.61,99,20,16.46
1,sitka,37.17,-99.65,45.56,54,12,16.02
2,bethel,60.79,-161.76,-18.26,76,1,13.87
3,rikitea,-23.12,-134.97,79.72,99,44,16.46
4,hilo,19.71,-155.08,73.94,73,1,5.82
5,hamilton,32.3,-64.78,60.8,63,75,23.04
6,manokwari,-0.87,134.08,81.83,100,12,4.5
7,taolanaro,NA,NA,NA,NA,NA,NA
8,mataura,-46.19,168.86,55.78,73,92,20.83
9,los llanos de aridane,28.66,-17.92,60.8,59,75,8.05
10,palabuhanratu,NA,NA,NA,NA,NA,NA
11,fortuna,38.18,-1.13,38.3,51,0,5.82
12,taoudenni,22.68,-3.98,37.06,60,0,3.6
13,hobart,-42.88,147.33,84.2,42,20,14.99
14,savannah bight,16.45,-85.85,73.24,100,88,4.94
15,itarema,-2.92,-39.92,73.51,94,92,3.6
16,vaini,15.34,74.49,75.2,36,0,5.82
17,cidreira,-30.17,-50.22,73.55,90,48,6.17
18,ushuaia,-54.81,-68.31,55.4,58,40,19.46
19,birganj,27.01,84.88,55.78,76,0,3.38
20,lompoc,34.64,-120.46,52.14,87,90,3.36
21,east london,-33.02,27.91,66.2,93,40,11.21
22,srivardhan,18.03,73.02,67.25,85,0,3.15
23,bosaso,11.28,49.18,73.4,78,20,6.4
24,antofagasta,-23.65,-70.4,68,56,0,2.24
25,majene,-3.54,118.97,82.78,100,36,1.36
26,punta arenas,-53.16,-70.91,53.6,66,75,12.75
27,sapao,NA,NA,NA,NA,NA,NA
28,atherton,53.52,-2.49,41.47,93,90,2.24
29,longyearbyen,78.22,15.63,14,72,90,31.09
30,tiksi,71.64,128.87,-31.84,0,64,3.94
31,souillac,45.6,-0.6,31.19,100,8,2.24
32,boma,11.23,4.46,65.86,63,0,3.15
33,haines junction,60.75,-137.51,-43.27,0,8,2.15
34,arraial do cabo,-22.97,-42.02,76.79,88,24,17.02
35,klaksvik,62.23,-6.59,42.8,100,56,8.05
36,sorland,67.67,12.69,37.4,74,75,34.45
37,port alfred,-33.59,26.89,65.77,95,64,6.06
38,aksarka,66.56,67.8,-28.02,0,32,8.3
39,kysyl-syr,63.9,122.77,-26.85,41,68,8.3
40,ust-ishim,57.69,71.17,-8.49,65,68,3.38
41,kimbe,-5.56,150.15,85.16,92,32,5.73
42,barrow,-38.31,-60.23,48.08,80,0,2.71
43,bredasdorp,-34.53,20.04,53.6,81,0,3.36
44,cherskiy,68.75,161.3,0.61,53,0,8.3
45,khatanga,71.98,102.47,-42.6,0,12,4.94
46,tumannyy,NA,NA,NA,NA,NA,NA
47,hermanus,-34.42,19.24,49.21,95,0,4.16
48,bud,62.91,6.91,38.59,69,88,21.92
49,beidao,34.57,105.89,22.12,67,0,3.38
50,qasigiannguit,68.82,-51.19,-7.61,52,0,6.93
51,mehamn,71.03,27.85,24.8,68,0,18.34
52,tierra colorada,17.17,-99.53,80.6,65,20,5.82
53,qaanaaq,77.48,-69.36,-18.3,100,24,8.52
54,sao joao da barra,-21.64,-41.05,78.95,97,20,12.21
55,ulefoss,59.29,9.26,41,75,20,5.82
56,yashkul,46.17,45.34,14.15,81,76,7.18
57,belmonte,40.36,-7.35,26.17,58,0,6.73
58,kruisfontein,-34,24.73,62.66,94,56,4.5
59,cape town,-33.93,18.42,62.6,82,40,13.87
60,alyangula,-13.85,136.42,96.8,50,0,8.05
61,lorengau,-2.02,147.27,85.93,92,0,9.08
62,thompson,55.74,-97.86,-13.01,75,40,8.05
63,talnakh,69.49,88.39,-29.1,46,36,3.6
64,upernavik,72.79,-56.15,-5.56,100,20,7.74
65,castro,-42.48,-73.76,42.8,93,32,2.24
66,puerto ayora,-0.74,-90.35,76.12,100,32,5.95
67,aykhal,65.95,111.51,-22.17,30,64,2.82
68,albany,42.65,-73.75,21.45,57,90,18.34
69,marcona,NA,NA,NA,NA,NA,NA
70,inhambane,-23.87,35.38,82.4,88,20,9.17
71,kununurra,-15.77,128.74,98.6,44,0,3.36
72,laguna,27.52,-110.01,63.79,81,92,1.92
73,hasaki,35.73,140.83,52.75,27,20,17.22
74,cockburn town,21.46,-71.14,74.32,100,12,12.66
75,bambous virieux,-20.34,57.76,82.4,78,40,10.29
76,kapaa,22.08,-159.32,75,76,20,5.82
77,predivinsk,57.07,93.44,1.55,59,32,6.85
78,severo-kurilsk,50.68,156.12,19.51,100,0,2.82
79,norman wells,65.28,-126.83,-34.61,65,75,2.24
80,dunedin,-45.87,170.5,62.03,60,0,15.46
81,svetlogorsk,53.14,59.15,5,84,75,2.24
82,padang,-0.92,100.36,86,74,20,3.36
83,bossembele,NA,NA,NA,NA,NA,NA
84,saskylakh,71.97,114.09,-40.75,0,56,3.15
85,olafsvik,NA,NA,NA,NA,NA,NA
86,hobyo,5.35,48.53,77.02,83,76,19.48
87,union,47.36,-123.1,48.52,89,90,5.82
88,belushya guba,NA,NA,NA,NA,NA,NA
89,naifaru,5.44,73.37,81.29,100,0,9.31
90,eureka,40.8,-124.16,51.82,89,20,4.7
91,juneau,58.3,-134.42,26.1,92,90,2.93
92,kudahuvadhoo,2.67,72.89,78.37,100,56,7.29
93,sentyabrskiy,NA,NA,NA,NA,NA,NA
94,tuktoyaktuk,69.44,-133.03,-27.41,74,20,9.17
95,harper,30.3,-99.24,52.12,46,90,9.17
96,illoqqortoormiut,NA,NA,NA,NA,NA,NA
97,aporawan,NA,NA,NA,NA,NA,NA
98,tsihombe,NA,NA,NA,NA,NA,NA
99,hambantota,6.12,81.12,82.4,78,20,11.41
100,west wendover,40.74,-114.07,28.04,92,1,4.7
101,carnarvon,-30.97,22.13,49.48,56,0,2.82
102,bandarbeyla,9.49,50.81,75.71,100,92,21.16
103,adrar,27.87,-0.29,41,32,0,5.82
104,kurumkan,54.33,110.32,1.24,79,76,1.03
105,avarua,-21.21,-159.78,80.6,69,75,12.75
106,new norfolk,-42.78,147.06,84.2,47,20,14.99
107,vao,59.1,26.19,22.66,90,88,15.68
108,hithadhoo,-0.6,73.08,80.98,100,88,2.93
109,blagoyevo,63.37,47.92,9.97,80,68,6.29
110,khani,41.96,42.96,41,48,0,16.11
111,kamakwie,9.5,-12.24,62.44,86,0,2.82
112,mount clemens,42.6,-82.88,21,76,20,5.82
113,yarmouth,50.71,-1.5,42.8,87,24,8.05
114,georgetown,6.8,-58.16,73.4,94,20,4.7
115,barentsburg,NA,NA,NA,NA,NA,NA
116,manaure,11.78,-72.45,76.25,98,0,15.9
117,ketchikan,55.34,-131.65,45.37,85,90,18.34
118,lianzhou,24.79,112.38,46.1,98,92,2.59
119,banjar,-7.37,108.54,83.63,76,24,3.6
120,mahebourg,-20.41,57.7,82.4,78,40,10.29
121,butaritari,3.07,172.79,85.79,100,76,8.63
122,tondano,1.3,124.91,86,70,40,6.93
123,immokalee,26.42,-81.42,49.05,86,75,9.75
124,dikson,73.51,80.55,-19.02,100,24,5.73
125,fairbanks,64.84,-147.72,-29.71,70,40,3.15
126,mar del plata,-46.43,-67.52,62.75,46,0,18.03
127,bengkulu,NA,NA,NA,NA,NA,NA
128,filadelfia,-22.35,-60.04,76.25,87,80,7.29
129,tanout,14.97,8.88,52.58,68,0,4.72
130,amderma,NA,NA,NA,NA,NA,NA
131,saint george,39.45,22.34,34.45,86,40,4.7
132,tupik,54.43,119.94,-10.69,66,0,2.59
133,lerici,44.07,9.91,26.6,86,0,1.12
134,champerico,16.38,-93.6,66.2,77,75,9.17
135,sioux lookout,50.1,-91.92,5.97,84,90,5.82
136,pevek,69.7,170.27,7.09,71,36,23.29
137,laramie,41.31,-105.59,34.56,78,40,6.93
138,chokurdakh,70.62,147.9,-38.19,0,32,3.15
139,farsund,58.09,6.8,44.21,100,36,20.04
140,hanna,51.64,-111.93,8.08,95,44,2.59
141,port-de-bouc,43.4,4.98,34.88,74,0,13.87
142,bluff,-23.58,149.07,80.17,76,92,10.42
143,meadow lake,54.13,-108.44,7.09,81,88,3.49
144,almeirim,39.21,-8.63,42.37,56,0,9.17
145,clyde river,70.47,-68.59,-25.61,67,1,8.05
146,ribeira grande,38.52,-28.7,59.69,100,88,29.33
147,phan thiet,10.93,108.1,81.61,83,20,16.13
148,san quintin,17.54,120.52,82.19,58,0,4.05
149,san jose,15.79,120.99,77.38,81,76,5.39
150,jamame,0.07,42.75,77.33,88,8,10.31
151,soure,40.06,-8.63,42.8,52,0,3.36
152,rio gallegos,-51.62,-69.22,53.6,76,40,3.15
153,garissa,-0.46,39.64,75.58,75,56,4.61
154,progreso,-34.68,-56.22,66.2,68,20,10.29
155,coihaique,-45.58,-72.07,49.82,50,0,3.36
156,jiuquan,39.73,98.49,-3.13,39,0,1.7
157,san policarpo,12.18,125.51,80.89,88,80,17.02
158,gulshat,NA,NA,NA,NA,NA,NA
159,naryan-mar,67.67,53.09,-3.72,77,68,23.96
160,arroio grande,-32.24,-53.09,68.96,100,80,7.52
161,leh,34.16,77.58,-13.75,74,76,0.36
162,ilulissat,69.22,-51.1,-7.61,52,0,6.93
163,tasiilaq,65.61,-37.64,19.4,73,80,16.11
164,srednekolymsk,67.46,153.71,-27.7,44,56,2.59
165,zhigansk,66.77,123.37,-32.97,0,68,5.73
166,valparaiso,41.47,-87.06,26.24,74,90,3.94
167,beringovskiy,63.05,179.32,17.21,90,68,22.5
168,dzhusaly,NA,NA,NA,NA,NA,NA
169,serowe,-22.4,26.7,64.73,89,0,3.15
170,port elizabeth,39.31,-74.98,30.2,58,1,17.22
171,broken hill,-31.97,141.45,100.4,24,0,9.17
172,sarkand,45.41,79.91,5.02,79,12,2.71
173,provideniya,64.42,-173.23,-4.01,64,0,13.42
174,japura,-0.42,102.29,81.11,84,24,2.82
175,hofn,64.25,-15.21,37.19,100,88,14.45
176,salta,-24.79,-65.41,62.6,100,90,3.36
177,geraldton,49.72,-86.95,-2.21,64,90,2.24
178,nerchinskiy zavod,51.31,119.61,-0.25,70,12,2.82
179,pacific grove,36.62,-121.92,50.76,92,90,3.36
180,tvoroyri,61.56,-6.81,42.8,100,56,8.05
181,abakaliki,6.32,8.11,74.18,87,8,7.18
182,saleaula,NA,NA,NA,NA,NA,NA
183,vila velha,-3.71,-38.6,80.6,83,75,11.41
184,jamestown,-33.21,138.6,84.13,63,0,7.85
185,mogadishu,2.04,45.34,75.2,78,0,12.75
186,kijang,35.24,129.21,44.6,42,0,6.93
187,husavik,50.56,-96.99,11.54,88,88,7.74
188,port-cartier,50.03,-66.88,23,79,90,9.17
189,riaba,NA,NA,NA,NA,NA,NA
190,davila,18.47,120.58,82.4,74,20,6.93
191,busselton,-33.64,115.35,68.51,97,0,3.83
192,merauke,-8.49,140.4,85.7,87,20,9.42
