,city,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
0,omboue,-1.57,9.26,79.4,100,80,2.51
1,vaini,15.34,74.49,75.2,36,0,5.82
2,hermanus,-34.42,19.24,60.54,79,8,5.19
3,jiazi,19.61,110.49,77,83,75,8.95
4,barrow,-38.31,-60.23,44.84,82,0,3.85
5,sao joao da barra,-21.64,-41.05,78.45,99,68,12.8
6,acajutla,13.59,-89.83,76.83,56,36,2.73
7,galeana,24.83,-100.08,35.07,90,0,3.4
9,norman wells,65.28,-126.83,-34.61,65,75,2.24
10,esperance,10.24,-61.45,75.2,88,0,5.3
11,fortuna,38.18,-1.13,39.2,51,0,5.82
12,puerto ayora,-0.74,-90.35,74.99,100,56,2.95
13,hithadhoo,-0.6,73.08,81.42,100,88,1.95
14,busselton,-33.64,115.35,71.12,91,0,9.44
16,bukoba,-1.33,31.81,71.97,95,56,7.76
18,praia da vitoria,38.73,-27.07,59,93,75,24.09
19,kiruna,67.86,20.23,28.4,68,80,14.99
20,phan thiet,10.93,108.1,84.17,77,0,15.48
21,rikitea,-23.12,-134.97,77.01,100,100,17.83
22,ushuaia,-54.81,-68.31,55.4,58,40,19.46
23,tuktoyaktuk,69.44,-133.03,-27.41,74,20,9.17
24,arraial do cabo,-22.97,-42.02,75.62,92,20,14.47
25,saldanha,41.42,-6.55,19.19,91,0,4.52
27,jamestown,-33.21,138.6,88.22,61,0,3.74
28,punta arenas,-53.16,-70.91,53.6,66,75,12.75
29,mataura,-46.19,168.86,57.12,62,32,17.83
30,itarema,-2.92,-39.92,73.95,95,92,4.07
31,usatove,46.54,30.65,33.8,100,90,13.42
32,gagra,43.29,40.27,46.4,52,90,13.42
33,touros,-5.2,-35.46,75.2,88,40,4.7
34,mogzon,51.74,111.97,15.9,51,0,3.85
36,carnarvon,-30.97,22.13,62.16,39,12,4.52
37,ribeira grande,38.52,-28.7,60.95,100,64,20.29
38,gloversville,43.05,-74.34,24.08,59,90,18.34
40,dubbo,-32.25,148.6,95,30,64,18.34
41,cape town,-33.93,18.42,62.6,82,40,13.87
42,ilulissat,69.22,-51.1,-7.61,52,0,6.93
44,hobart,-42.88,147.33,84.2,41,20,13.87
45,kerman,30.29,57.06,26.6,49,0,4.7
46,havre-saint-pierre,50.23,-63.6,28.4,92,90,13.87
48,east london,-33.02,27.91,66.2,93,40,4.97
49,berlevag,70.86,29.09,24.8,68,0,18.34
50,antalaha,-14.9,50.28,78.59,99,68,2.73
51,kodiak,39.95,-94.76,35.96,37,90,9.17
52,longyearbyen,78.22,15.63,14,72,90,31.09
53,outjo,-20.11,16.16,60.09,55,0,2.84
54,klaksvik,62.23,-6.59,42.8,100,64,6.93
55,boyuibe,-20.43,-63.28,68.55,99,92,8.1
56,saint anthony,43.97,-111.68,32,95,90,4.7
57,saint-philippe,45.36,-73.48,10.76,75,90,12.24
58,castro,-42.48,-73.76,42.8,93,44,2.24
60,kalabo,-15,22.67,73.64,83,12,11.56
61,hervey bay,-25.3,152.85,86,42,24,17.22
63,new norfolk,-42.78,147.06,84.2,42,20,14.99
64,cabo san lucas,22.89,-109.91,68,77,20,6.42
66,mbabane,-26.33,31.14,73.23,81,0,1.95
67,albany,42.65,-73.75,24.98,57,90,18.34
68,vardo,39.62,-77.74,30.2,58,40,9.17
69,lahaina,20.87,-156.68,78.08,78,90,8.05
70,manta,45.1,24.1,26.57,95,92,4.74
71,malindi,-3.22,40.12,80.6,88,75,10.78
72,bredasdorp,-34.53,20.04,53.6,81,0,3.36
73,sagua la grande,22.81,-80.07,51.8,87,0,3.36
74,tazovskiy,67.47,78.7,-28.47,46,32,5.41
